step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,0.147,0.0099,0.0003,0.26,0.025,-0.004
L2_tur_penalty,0.335,0.0185,0.0068,0.99,-0.094,-0.0
L3_asset_cap,0.02,-0.0019,0.0002,-0.04,-0.009,0.002
L4_gacha_t,-0.402,-0.0367,0.0067,-0.57,-0.001,0.007
L5_mkt_beta,0.083,0.0024,0.0013,0.23,-0.001,0.003
L6_sector_beta,0.942,0.0246,0.0022,1.32,0.008,-0.004
L7_volscale,-0.018,-0.0046,0.0003,-0.14,0.0,0.0
L8_stoploss,0.158,0.0057,0.0022,0.7,-0.007,-0.003
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,-0.127,-0.0095,0.0031,0.29,-0.006,0.003
L11_paircap,-0.083,-0.0041,-0.0001,-0.26,-0.001,0.001
L12_voladj,0.2,-0.0026,0.0015,0.27,0.015,0.002
