config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,1.5748,0.0983,-0.0408,2.4127,0.1975,0.4573
L1_min_opt,1.6631,0.1051,-0.0405,2.5937,0.2226,0.4536
L2_tur_penalty,1.9817,0.1227,-0.0337,3.6357,0.1293,0.4536
L3_asset_cap,2.0975,0.1254,-0.0335,3.7405,0.1195,0.4547
L4_gacha_t,1.5625,0.0784,-0.0268,2.92,0.1191,0.463
L5_mkt_beta,1.6388,0.0801,-0.0255,3.1434,0.1185,0.4655
L6_sector_beta,2.4996,0.0999,-0.0233,4.2862,0.1266,0.4613
L7_volscale,2.4917,0.0956,-0.0229,4.1679,0.1265,0.4615
L8_stoploss,2.658,0.1017,-0.0208,4.8935,0.1201,0.4573
L9_DD_ctrl,2.658,0.1017,-0.0208,4.8935,0.1201,0.4573
L10_restricted,2.5048,0.091,-0.0177,5.1518,0.1138,0.4607
L11_paircap,2.4306,0.0874,-0.0178,4.9101,0.1122,0.4619
L12_voladj,2.5871,0.0835,-0.0163,5.122,0.1268,0.4646
