step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.061,0.0148,-0.0034,-0.26,0.013,-0.017
L2_tur_penalty,-0.302,-0.0239,-0.0007,-0.75,-0.07,0.017
L3_asset_cap,-0.677,-0.0745,0.005,-1.29,-0.03,0.027
L4_gacha_t,0.297,-0.0103,0.0135,2.84,0.006,0.012
L5_mkt_beta,-0.077,-0.0029,-0.0057,-1.85,0.002,0.003
L6_sector_beta,0.288,-0.0066,0.0007,-0.1,0.003,0.003
L7_volscale,0.148,0.0007,0.0008,0.24,-0.007,-0.001
L8_stoploss,-0.233,-0.0136,0.0003,-0.51,-0.015,0.003
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,0.165,-0.0018,0.0043,1.15,-0.01,0.006
L11_paircap,-0.197,-0.0087,-0.0004,-0.58,-0.001,0.002
L12_voladj,0.141,-0.0093,0.0056,1.77,0.002,0.01
