config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,4.0209,0.2638,-0.0343,7.695,0.2178,0.3195
L1_min_opt,3.9261,0.276,-0.0377,7.3228,0.2307,0.3032
L2_tur_penalty,3.597,0.25,-0.0384,6.509,0.1601,0.3202
L3_asset_cap,3.0297,0.1811,-0.0334,5.4264,0.1296,0.3451
L4_gacha_t,3.3164,0.1691,-0.0199,8.495,0.1348,0.3573
L5_mkt_beta,3.2304,0.1652,-0.0256,6.4543,0.1365,0.3603
L6_sector_beta,3.534,0.1569,-0.0249,6.2909,0.1389,0.3645
L7_volscale,3.6901,0.1576,-0.0241,6.5465,0.1323,0.364
L8_stoploss,3.5153,0.1472,-0.0239,6.1709,0.117,0.3661
L9_DD_ctrl,3.5153,0.1472,-0.0239,6.1709,0.117,0.3661
L10_restricted,3.6281,0.1424,-0.0195,7.3061,0.1073,0.3716
L11_paircap,3.4305,0.1327,-0.0199,6.6741,0.1065,0.3731
L12_voladj,3.3548,0.1144,-0.0144,7.9608,0.1091,0.3837
