step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.129,0.0084,-0.0008,0.16,0.013,-0.018
L2_tur_penalty,0.11,0.0042,-0.0003,0.1,-0.067,0.008
L3_asset_cap,-0.127,-0.0321,0.0035,-0.51,-0.039,0.042
L4_gacha_t,0.054,-0.002,-0.0025,-0.69,-0.0,0.001
L5_mkt_beta,0.058,0.0027,-0.0052,-0.81,0.0,0.002
L6_sector_beta,0.198,0.0042,0.0005,0.23,0.003,-0.001
L7_volscale,0.098,0.0004,0.0017,0.29,-0.005,-0.002
L8_stoploss,-0.157,-0.008,-0.0015,-0.55,-0.018,0.002
L9_DD_ctrl,-0.004,-0.0001,-0.0001,-0.01,-0.0,0.0
L10_restricted,-0.104,-0.0119,0.0034,0.08,-0.009,0.007
L11_paircap,0.069,0.0018,0.0011,0.26,0.0,-0.001
L12_voladj,-0.1,-0.0111,0.0071,1.27,0.006,-0.002
