config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,2.9062,0.1376,-0.023,5.9697,0.2256,0.3719
L1_min_opt,2.8079,0.1479,-0.0238,6.2074,0.2395,0.3529
L2_tur_penalty,2.9249,0.1526,-0.0241,6.3197,0.172,0.3614
L3_asset_cap,2.6819,0.114,-0.0206,5.5348,0.1337,0.4043
L4_gacha_t,2.7269,0.1116,-0.0231,4.8306,0.1333,0.4053
L5_mkt_beta,2.7852,0.1143,-0.0283,4.0375,0.1333,0.4071
L6_sector_beta,2.9776,0.1185,-0.0278,4.2641,0.1365,0.4057
L7_volscale,3.0763,0.1191,-0.0261,4.5622,0.1314,0.4038
L8_stoploss,2.8852,0.1096,-0.0277,3.9637,0.1135,0.4059
L9_DD_ctrl,2.8805,0.1094,-0.0277,3.9547,0.1134,0.4058
L10_restricted,2.7785,0.0975,-0.024,4.0627,0.1045,0.4132
L11_paircap,2.8409,0.0993,-0.0233,4.2662,0.1048,0.4123
L12_voladj,2.7806,0.09,-0.0161,5.5994,0.111,0.4107
