step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.067,0.0169,-0.0034,-0.2,0.031,-0.018
L2_tur_penalty,0.209,0.0109,-0.0006,0.22,-0.084,0.016
L3_asset_cap,-0.172,-0.0529,0.0089,0.36,-0.039,0.036
L4_gacha_t,0.109,-0.0194,0.0014,-0.43,0.001,0.008
L5_mkt_beta,0.025,-0.0033,-0.0003,-0.24,0.0,0.003
L6_sector_beta,0.304,0.0094,0.0044,2.15,0.001,0.001
L7_volscale,0.146,0.0006,0.0017,0.99,-0.002,-0.001
L8_stoploss,0.346,0.0113,0.001,1.41,-0.01,-0.002
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,-0.291,-0.0149,-0.0004,-1.3,-0.008,0.006
L11_paircap,-0.081,-0.0069,0.0,-0.44,-0.001,0.003
L12_voladj,0.205,-0.0202,0.0025,0.28,0.011,0.01
