config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,4.2027,0.2076,-0.0279,7.4283,0.2043,0.3308
L1_min_opt,4.0726,0.2241,-0.0313,7.1512,0.2342,0.3134
L2_tur_penalty,4.2735,0.2339,-0.0319,7.3246,0.15,0.3289
L3_asset_cap,4.1621,0.1787,-0.023,7.7755,0.1129,0.3646
L4_gacha_t,4.5074,0.1652,-0.0183,9.0031,0.1134,0.3714
L5_mkt_beta,4.53,0.1622,-0.0183,8.8502,0.1134,0.3741
L6_sector_beta,4.8667,0.1701,-0.0175,9.714,0.1149,0.3757
L7_volscale,5.0827,0.172,-0.0158,10.9137,0.1122,0.3738
L8_stoploss,5.3351,0.1797,-0.0148,12.1444,0.1019,0.3715
L9_DD_ctrl,5.3351,0.1797,-0.0148,12.1444,0.1019,0.3715
L10_restricted,5.0176,0.1645,-0.0152,10.7989,0.094,0.3769
L11_paircap,4.8824,0.1558,-0.0153,10.2145,0.0938,0.3796
L12_voladj,5.1252,0.1327,-0.0103,12.8811,0.1047,0.3893
