step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.339,-0.0072,0.0023,0.03,0.009,-0.003
L2_tur_penalty,0.052,0.0013,-0.0002,0.03,-0.056,0.005
L3_asset_cap,0.066,0.0007,0.001,0.26,-0.005,0.003
L4_gacha_t,-0.001,-0.0001,0.0001,0.03,0.0,0.0
L5_mkt_beta,0.198,0.0064,0.0,0.41,0.0,0.0
L6_sector_beta,0.798,0.0313,0.001,2.38,0.004,-0.003
L7_volscale,-0.01,-0.0005,0.0016,0.75,0.001,-0.0
L8_stoploss,0.225,0.0075,-0.0004,0.31,0.002,-0.006
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,0.076,-0.0033,0.0005,0.05,-0.002,0.001
L11_paircap,0.036,0.0019,-0.0011,-0.45,0.0,-0.001
L12_voladj,-0.194,-0.02,-0.002,-2.11,0.018,0.001
