config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,1.8283,0.0622,-0.0191,3.2512,0.112,0.4552
L1_min_opt,1.4955,0.0549,-0.0168,3.264,0.1211,0.4524
L2_tur_penalty,1.5399,0.056,-0.017,3.2869,0.0652,0.4572
L3_asset_cap,1.6076,0.0568,-0.016,3.5435,0.0606,0.4608
L4_gacha_t,1.6099,0.0568,-0.0159,3.5821,0.0606,0.4608
L5_mkt_beta,1.8097,0.0634,-0.0159,3.9962,0.0607,0.4608
L6_sector_beta,2.6501,0.0959,-0.0149,6.4509,0.0645,0.4577
L7_volscale,2.6391,0.0955,-0.0133,7.1898,0.0654,0.4574
L8_stoploss,2.868,0.1031,-0.0137,7.5028,0.0681,0.4514
L9_DD_ctrl,2.868,0.1031,-0.0137,7.5028,0.0681,0.4514
L10_restricted,2.9394,0.0997,-0.0134,7.4473,0.0662,0.4529
L11_paircap,2.9834,0.1018,-0.0143,7.1267,0.0663,0.4517
L12_voladj,2.7733,0.0815,-0.0163,5.0019,0.0844,0.4528
