step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.01,-0.0035,0.0051,0.02,0.013,-0.011
L2_tur_penalty,-0.023,-0.0021,-0.004,-0.08,-0.036,0.02
L3_asset_cap,0.174,0.0131,0.0069,0.28,-0.012,0.01
L4_gacha_t,0.006,-0.0178,-0.0062,-0.34,0.008,0.009
L5_mkt_beta,0.018,-0.0015,0.0068,0.06,0.001,0.003
L6_sector_beta,0.06,-0.009,0.0164,0.11,0.001,-0.0
L7_volscale,0.245,0.006,0.0046,0.23,-0.003,-0.0
L8_stoploss,0.365,0.0101,0.0089,0.57,-0.009,0.004
L9_DD_ctrl,-0.016,-0.0005,0.0001,-0.01,-0.0,-0.001
L10_restricted,-0.214,-0.0111,-0.0049,-0.47,-0.006,0.002
L11_paircap,-0.044,-0.003,-0.0001,-0.07,-0.001,0.002
L12_voladj,0.7,0.0141,0.0165,1.34,0.009,0.004
