config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,0.6942,0.0539,-0.0761,0.708,0.1341,0.3359
L1_min_opt,0.6058,0.0454,-0.071,0.6393,0.1474,0.3255
L2_tur_penalty,0.5613,0.0419,-0.075,0.5585,0.1115,0.3453
L3_asset_cap,0.7647,0.0573,-0.0681,0.8412,0.0991,0.3549
L4_gacha_t,0.9235,0.0526,-0.0743,0.7081,0.1074,0.3638
L5_mkt_beta,0.9715,0.053,-0.0675,0.7853,0.1081,0.3666
L6_sector_beta,0.9956,0.0439,-0.0512,0.8591,0.1094,0.3665
L7_volscale,1.2309,0.0501,-0.0465,1.0775,0.1058,0.3661
L8_stoploss,1.552,0.0593,-0.0376,1.5774,0.0967,0.3701
L9_DD_ctrl,1.5363,0.0587,-0.0375,1.5644,0.0964,0.3696
L10_restricted,1.2639,0.0459,-0.0424,1.0829,0.0907,0.3713
L11_paircap,1.2098,0.0427,-0.0425,1.0059,0.0895,0.373
L12_voladj,1.8172,0.0556,-0.0261,2.1356,0.0983,0.3768
