step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,0.017,0.0044,-0.0006,0.09,0.011,-0.01
L2_tur_penalty,-0.137,-0.0077,0.0003,-0.24,-0.037,0.007
L3_asset_cap,-0.305,-0.0238,0.0038,-0.45,-0.049,0.023
L4_gacha_t,0.077,-0.0115,-0.0033,-0.75,0.024,0.019
L5_mkt_beta,0.165,0.0056,-0.0021,0.04,0.006,0.006
L6_sector_beta,0.181,-0.0013,0.0021,0.12,0.004,0.005
L7_volscale,0.041,-0.0003,-0.0004,-0.05,-0.007,-0.0
L8_stoploss,-0.234,-0.0145,0.0003,-0.49,-0.059,0.011
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,-0.118,-0.0071,-0.0057,-0.49,-0.014,0.002
L11_paircap,-0.02,-0.0016,0.0015,0.0,0.0,-0.001
L12_voladj,0.036,-0.0016,0.0088,0.38,-0.001,0.001
