config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,1.7925,0.0994,-0.0282,3.5276,0.2954,0.1862
L1_min_opt,1.8422,0.1058,-0.0288,3.6776,0.3071,0.1765
L2_tur_penalty,1.7104,0.0983,-0.0285,3.4503,0.269,0.1837
L3_asset_cap,1.3718,0.0726,-0.0247,2.9424,0.2202,0.2052
L4_gacha_t,1.4049,0.0585,-0.0272,2.1529,0.2443,0.224
L5_mkt_beta,1.5303,0.0624,-0.0288,2.1651,0.2505,0.23
L6_sector_beta,1.76,0.0631,-0.0261,2.4139,0.254,0.235
L7_volscale,1.798,0.0626,-0.027,2.3191,0.2475,0.2347
L8_stoploss,1.5377,0.0474,-0.0265,1.7847,0.1893,0.2449
L9_DD_ctrl,1.5376,0.0474,-0.0265,1.7845,0.1893,0.2449
L10_restricted,1.4681,0.0416,-0.0317,1.312,0.1751,0.2473
L11_paircap,1.4419,0.0397,-0.0308,1.2897,0.1753,0.2464
L12_voladj,1.5765,0.0407,-0.0228,1.7869,0.1749,0.2481
