step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,0.004,0.0082,-0.0025,0.01,0.012,-0.008
L2_tur_penalty,-0.021,-0.0012,0.0004,0.0,-0.035,0.002
L3_asset_cap,-0.244,-0.0459,0.013,-0.21,-0.09,0.027
L4_gacha_t,-0.069,-0.0196,-0.0061,-1.12,0.026,0.023
L5_mkt_beta,0.002,-0.001,-0.0035,-0.2,0.005,0.005
L6_sector_beta,0.367,0.0045,0.0079,0.59,0.002,0.003
L7_volscale,0.087,0.0007,0.0002,0.04,-0.009,-0.001
L8_stoploss,-0.515,-0.026,0.0017,-0.84,-0.08,0.001
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,-0.34,-0.0121,-0.0082,-0.66,-0.018,0.005
L11_paircap,-0.028,-0.0012,-0.0005,-0.05,-0.001,0.001
L12_voladj,-0.131,-0.0043,0.0007,-0.11,0.002,0.003
