config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,1.6065,0.1155,-0.0379,3.0471,0.3854,0.1974
L1_min_opt,1.6615,0.1276,-0.0404,3.1591,0.3977,0.1884
L2_tur_penalty,1.6258,0.1252,-0.04,3.1324,0.3634,0.1902
L3_asset_cap,1.1786,0.0678,-0.027,2.5126,0.2716,0.2204
L4_gacha_t,1.0445,0.0474,-0.0366,1.2934,0.2979,0.2434
L5_mkt_beta,1.0686,0.0474,-0.0389,1.2182,0.3033,0.2484
L6_sector_beta,1.4476,0.0535,-0.0287,1.8619,0.305,0.2529
L7_volscale,1.5535,0.0552,-0.0287,1.9271,0.2961,0.2518
L8_stoploss,1.1047,0.0322,-0.028,1.1503,0.2118,0.2535
L9_DD_ctrl,1.1047,0.0322,-0.028,1.1503,0.2118,0.2535
L10_restricted,0.7584,0.0204,-0.0375,0.5439,0.195,0.2592
L11_paircap,0.672,0.0177,-0.0381,0.4647,0.1945,0.2598
L12_voladj,0.5043,0.0128,-0.038,0.337,0.1962,0.2621
