step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.101,0.001,-0.0008,-0.05,0.003,0.001
L2_tur_penalty,-0.001,-0.0004,0.0002,0.0,-0.029,0.009
L3_asset_cap,0.103,-0.0244,0.0071,0.11,-0.044,0.012
L4_gacha_t,-0.066,-0.0258,-0.0025,-1.2,0.012,0.008
L5_mkt_beta,0.218,0.0078,0.0009,0.37,0.003,0.001
L6_sector_beta,0.168,0.0031,0.0026,0.42,0.002,-0.0
L7_volscale,0.078,-0.0002,0.0011,0.15,-0.003,0.0
L8_stoploss,-0.359,-0.019,-0.0041,-1.17,-0.007,0.007
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,-0.315,-0.0152,-0.0058,-0.85,-0.006,0.004
L11_paircap,0.102,0.001,0.0004,0.05,-0.0,0.002
L12_voladj,0.351,0.0019,0.01,0.77,0.007,0.009
