config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,2.1541,0.1406,-0.0337,4.1686,0.1413,0.3299
L1_min_opt,2.0906,0.1446,-0.0345,4.1967,0.1435,0.3301
L2_tur_penalty,2.0999,0.1448,-0.0343,4.2206,0.1148,0.3393
L3_asset_cap,2.231,0.1194,-0.0272,4.3839,0.0727,0.3494
L4_gacha_t,2.0836,0.0887,-0.0297,2.982,0.0849,0.3574
L5_mkt_beta,2.1816,0.0918,-0.0288,3.1898,0.0878,0.3587
L6_sector_beta,2.351,0.0948,-0.0262,3.6199,0.0896,0.3585
L7_volscale,2.4253,0.0944,-0.0251,3.7619,0.0864,0.3589
L8_stoploss,2.1466,0.0782,-0.0292,2.6757,0.0796,0.3656
L9_DD_ctrl,2.1466,0.0782,-0.0292,2.6757,0.0796,0.3656
L10_restricted,1.8722,0.0639,-0.0353,1.8102,0.073,0.3699
L11_paircap,1.8807,0.0617,-0.0346,1.7835,0.073,0.3722
L12_voladj,2.2951,0.0646,-0.0245,2.6332,0.0796,0.3807
