step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.214,-0.0038,-0.0035,-0.56,0.004,-0.004
L2_tur_penalty,-0.046,-0.0014,0.0051,0.62,-0.047,0.004
L3_asset_cap,0.26,0.0022,0.0046,0.92,0.001,-0.001
L4_gacha_t,0.06,0.0027,0.0,0.11,0.0,-0.0
L5_mkt_beta,0.07,0.0037,0.0002,0.19,0.0,-0.0
L6_sector_beta,0.167,0.0046,0.0014,0.55,0.002,-0.0
L7_volscale,0.271,0.0057,0.0033,1.32,0.002,-0.002
L8_stoploss,-0.065,0.0017,-0.0002,0.03,0.0,-0.0
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,0.215,-0.0002,0.0003,0.1,-0.001,-0.0
L11_paircap,-0.265,-0.0139,0.0011,-0.28,-0.001,0.001
L12_voladj,-0.107,-0.0268,0.0023,-0.6,0.022,0.005
