config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,2.8004,0.1343,-0.0308,4.3578,0.0868,0.4487
L1_min_opt,2.5835,0.1302,-0.0343,3.8001,0.0904,0.4454
L2_tur_penalty,2.5618,0.131,-0.0292,4.4834,0.0431,0.4493
L3_asset_cap,2.8215,0.1322,-0.0246,5.3683,0.0441,0.449
L4_gacha_t,2.8823,0.1349,-0.0246,5.479,0.0442,0.4487
L5_mkt_beta,2.9608,0.139,-0.0244,5.6859,0.0442,0.4484
L6_sector_beta,3.1263,0.1434,-0.023,6.2375,0.0465,0.448
L7_volscale,3.4025,0.1493,-0.0197,7.5627,0.0488,0.4464
L8_stoploss,3.3427,0.151,-0.0199,7.5982,0.0492,0.446
L9_DD_ctrl,3.3427,0.151,-0.0199,7.5982,0.0492,0.446
L10_restricted,3.5513,0.1504,-0.0196,7.6697,0.0485,0.4459
L11_paircap,3.3019,0.1374,-0.0185,7.4083,0.048,0.4474
L12_voladj,3.206,0.1107,-0.0162,6.8463,0.0695,0.4527
