step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.029,0.003,0.0022,0.28,0.012,-0.005
L2_tur_penalty,0.187,0.0082,0.0001,0.3,-0.074,0.007
L3_asset_cap,0.081,-0.0003,-0.0019,-0.19,-0.002,0.001
L4_gacha_t,0.109,0.0019,0.0021,0.27,0.0,-0.001
L5_mkt_beta,0.111,0.0042,0.0003,0.18,0.0,-0.0
L6_sector_beta,0.417,0.0112,0.0054,1.28,0.003,-0.001
L7_volscale,0.368,0.0119,0.0038,1.61,0.001,-0.001
L8_stoploss,0.263,0.0117,-0.0009,0.37,0.004,-0.007
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,-0.283,-0.0195,0.0045,0.6,-0.001,0.007
L11_paircap,0.021,-0.0001,0.0003,0.11,-0.001,-0.001
L12_voladj,-0.167,-0.0185,0.0013,-0.77,0.021,0.002
