config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,1.2643,0.0622,-0.0294,2.1139,0.093,0.4602
L1_min_opt,1.1984,0.0633,-0.0272,2.331,0.1055,0.4556
L2_tur_penalty,1.3992,0.0723,-0.0271,2.6619,0.032,0.4631
L3_asset_cap,1.4613,0.0711,-0.029,2.4491,0.0297,0.4636
L4_gacha_t,1.5684,0.073,-0.0269,2.7197,0.0299,0.4627
L5_mkt_beta,1.6813,0.0773,-0.0266,2.9049,0.03,0.4624
L6_sector_beta,2.1366,0.09,-0.0212,4.2485,0.033,0.4618
L7_volscale,2.5068,0.1019,-0.0174,5.8571,0.0342,0.4607
L8_stoploss,2.7877,0.1143,-0.0183,6.2538,0.0384,0.4536
L9_DD_ctrl,2.7877,0.1143,-0.0183,6.2538,0.0384,0.4536
L10_restricted,2.5121,0.0951,-0.0138,6.9068,0.0372,0.4601
L11_paircap,2.5043,0.094,-0.0134,7.0119,0.0364,0.4595
L12_voladj,2.3158,0.0748,-0.0123,6.1026,0.0578,0.4616
