step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.172,-0.0052,-0.0051,-0.16,0.023,-0.001
L2_tur_penalty,0.148,0.0088,0.0076,0.27,-0.113,-0.001
L3_asset_cap,0.526,0.0096,0.0258,1.27,-0.016,-0.001
L4_gacha_t,0.026,-0.0035,0.0032,0.15,0.002,0.001
L5_mkt_beta,0.033,0.0005,-0.0022,-0.18,0.0,-0.0
L6_sector_beta,0.294,0.0035,0.0058,0.74,0.002,0.003
L7_volscale,-0.106,-0.0074,0.0011,-0.18,-0.006,-0.001
L8_stoploss,0.307,0.0098,0.0004,0.52,-0.008,-0.007
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,0.075,-0.0013,0.0002,-0.03,-0.007,0.001
L11_paircap,0.072,-0.0003,0.0018,0.28,-0.002,0.001
L12_voladj,-0.265,-0.0172,0.0046,-0.01,0.017,0.002
