config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,1.1062,0.0644,-0.0581,1.1084,0.2651,0.4733
L1_min_opt,0.9299,0.0592,-0.0632,0.9363,0.2903,0.4726
L2_tur_penalty,1.0948,0.0696,-0.0556,1.2511,0.1715,0.4717
L3_asset_cap,1.6687,0.0797,-0.0298,2.6784,0.1536,0.4703
L4_gacha_t,1.7148,0.0766,-0.0266,2.8772,0.1553,0.4711
L5_mkt_beta,1.7455,0.077,-0.0289,2.6677,0.1556,0.4711
L6_sector_beta,1.8761,0.0721,-0.023,3.1358,0.1581,0.4743
L7_volscale,1.7853,0.065,-0.0219,2.9713,0.1514,0.473
L8_stoploss,1.9769,0.0705,-0.0215,3.2873,0.1412,0.4664
L9_DD_ctrl,1.9769,0.0705,-0.0215,3.2873,0.1412,0.4664
L10_restricted,2.0819,0.0704,-0.0211,3.3299,0.1336,0.4666
L11_paircap,2.1597,0.0705,-0.0193,3.6562,0.1314,0.4671
L12_voladj,1.857,0.0514,-0.0154,3.3358,0.1477,0.4683
