step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.03,0.0036,-0.0003,0.06,0.009,-0.003
L2_tur_penalty,0.035,0.0019,-0.0012,-0.09,-0.043,0.004
L3_asset_cap,0.325,-0.002,0.0057,0.73,0.002,0.001
L4_gacha_t,0.081,0.0002,0.0081,1.82,0.001,-0.0
L5_mkt_beta,0.172,0.0079,0.0,0.35,0.0,-0.0
L6_sector_beta,-0.178,-0.0273,0.0032,-0.25,0.005,0.003
L7_volscale,0.259,0.0016,0.0012,0.56,0.001,-0.001
L8_stoploss,0.071,0.0021,-0.0005,-0.08,0.004,-0.005
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,0.115,0.0014,0.0024,1.18,-0.002,0.002
L11_paircap,-0.01,-0.0026,0.0006,0.19,-0.001,-0.002
L12_voladj,-0.209,-0.0296,0.0023,-0.76,0.021,0.006
