config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,2.7402,0.146,-0.0345,4.2333,0.0696,0.4611
L1_min_opt,2.6913,0.1488,-0.0348,4.2697,0.0787,0.4582
L2_tur_penalty,2.7342,0.151,-0.036,4.1927,0.0352,0.4617
L3_asset_cap,3.0516,0.1488,-0.0303,4.9108,0.037,0.4627
L4_gacha_t,3.1167,0.1484,-0.0222,6.6871,0.0375,0.4627
L5_mkt_beta,3.2676,0.1555,-0.0222,7.002,0.0376,0.4627
L6_sector_beta,3.0845,0.1284,-0.0191,6.7377,0.042,0.4656
L7_volscale,3.3342,0.1299,-0.0179,7.2707,0.0431,0.4643
L8_stoploss,3.3989,0.1318,-0.0183,7.1836,0.0471,0.4601
L9_DD_ctrl,3.3989,0.1318,-0.0183,7.1836,0.0471,0.4601
L10_restricted,3.5252,0.1337,-0.0159,8.4137,0.0453,0.4619
L11_paircap,3.5126,0.1306,-0.0153,8.5196,0.0445,0.4602
L12_voladj,3.2799,0.1007,-0.013,7.7458,0.0653,0.4664
