step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.056,-0.0009,-0.005,-0.1,0.009,-0.0
L2_tur_penalty,0.049,0.0028,0.0024,0.08,-0.066,-0.002
L3_asset_cap,0.135,0.0011,0.0075,0.17,0.001,0.001
L4_gacha_t,0.081,-0.0019,0.0029,0.03,0.0,0.001
L5_mkt_beta,0.029,0.0011,0.002,0.07,0.0,0.0
L6_sector_beta,-0.043,-0.0189,0.0204,0.28,0.004,0.003
L7_volscale,0.59,0.0149,0.0089,1.63,0.001,-0.003
L8_stoploss,0.51,0.0145,0.0047,2.22,0.004,-0.01
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,0.145,0.0033,0.0002,0.34,-0.003,-0.001
L11_paircap,0.005,0.0006,0.0,0.05,-0.001,0.0
L12_voladj,0.035,-0.0074,0.0016,0.17,0.021,0.004
