config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,0.7529,0.0471,-0.057,0.8266,0.1273,0.4832
L1_min_opt,0.7054,0.0463,-0.062,0.7465,0.1368,0.4825
L2_tur_penalty,0.7255,0.0472,-0.0596,0.7914,0.0704,0.4812
L3_asset_cap,0.8283,0.0479,-0.0521,0.9183,0.0714,0.4818
L4_gacha_t,0.8804,0.0459,-0.0492,0.932,0.0717,0.4824
L5_mkt_beta,0.9076,0.0469,-0.0472,0.9941,0.0718,0.4823
L6_sector_beta,0.7685,0.0285,-0.0268,1.0603,0.0756,0.485
L7_volscale,1.3021,0.0427,-0.0179,2.3878,0.0764,0.4818
L8_stoploss,1.8083,0.0572,-0.0132,4.3277,0.0793,0.4729
L9_DD_ctrl,1.8083,0.0572,-0.0132,4.3277,0.0793,0.4729
L10_restricted,1.9716,0.0617,-0.013,4.729,0.0768,0.4715
L11_paircap,2.0002,0.063,-0.013,4.8308,0.0762,0.4717
L12_voladj,2.0951,0.0584,-0.0113,5.1451,0.0969,0.4748
