step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.042,-0.0021,0.0018,0.22,0.011,-0.001
L2_tur_penalty,-0.04,-0.0013,0.0007,0.06,-0.056,-0.001
L3_asset_cap,0.001,-0.0004,0.0003,0.04,0.0,0.0
L4_gacha_t,-0.041,-0.0039,0.0015,0.11,0.0,0.0
L5_mkt_beta,0.227,0.0071,0.0,0.34,0.0,-0.0
L6_sector_beta,0.46,0.008,0.0005,0.5,0.004,0.0
L7_volscale,0.118,-0.0016,0.004,1.17,-0.0,-0.001
L8_stoploss,0.113,0.0043,0.0018,1.04,0.003,-0.005
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,0.143,0.0019,-0.0007,-0.2,-0.002,0.001
L11_paircap,0.014,0.0007,-0.0001,-0.0,-0.001,-0.001
L12_voladj,-0.045,-0.015,-0.0014,-1.48,0.019,0.002
