config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,2.4944,0.0998,-0.0255,3.9075,0.1049,0.466
L1_min_opt,2.454,0.0981,-0.0237,4.1445,0.1159,0.465
L2_tur_penalty,2.4005,0.096,-0.023,4.1713,0.0598,0.4644
L3_asset_cap,2.4025,0.0956,-0.0227,4.2119,0.0601,0.4645
L4_gacha_t,2.364,0.0923,-0.0212,4.3475,0.0604,0.4649
L5_mkt_beta,2.5957,0.0997,-0.0212,4.7,0.0607,0.4648
L6_sector_beta,3.0715,0.1091,-0.0207,5.2613,0.0647,0.4643
L7_volscale,3.1984,0.1077,-0.0167,6.4656,0.0646,0.4632
L8_stoploss,3.2943,0.1109,-0.0149,7.4351,0.0678,0.4576
L9_DD_ctrl,3.2943,0.1109,-0.0149,7.4351,0.0678,0.4576
L10_restricted,3.4411,0.1126,-0.0156,7.2114,0.0664,0.4589
L11_paircap,3.4538,0.1134,-0.0157,7.2269,0.0656,0.458
L12_voladj,3.4707,0.1001,-0.0171,5.8464,0.0849,0.4602
