step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,0.022,0.0067,-0.0004,0.17,0.01,-0.001
L2_tur_penalty,0.008,0.0003,0.0021,0.32,-0.051,-0.0
L3_asset_cap,0.15,-0.005,0.0039,0.54,0.001,0.001
L4_gacha_t,-0.03,-0.0036,0.002,0.3,0.001,0.001
L5_mkt_beta,0.082,0.0025,0.0,0.12,0.0,0.0
L6_sector_beta,-0.21,-0.0204,0.0007,-0.78,0.001,0.003
L7_volscale,0.27,0.002,0.001,0.35,0.001,-0.001
L8_stoploss,-0.059,-0.0018,0.0015,0.29,0.004,-0.004
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,0.085,-0.0004,-0.0009,-0.27,-0.001,0.0
L11_paircap,-0.108,-0.0057,-0.0005,-0.39,-0.001,-0.001
L12_voladj,-0.383,-0.0264,0.0105,2.28,0.021,0.007
