config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,2.8361,0.1236,-0.0302,4.0903,0.1,0.4795
L1_min_opt,2.8222,0.1287,-0.0306,4.2119,0.1103,0.4783
L2_tur_penalty,2.8299,0.129,-0.0285,4.5252,0.0587,0.4784
L3_asset_cap,2.976,0.1242,-0.0246,5.0514,0.0599,0.4796
L4_gacha_t,2.9321,0.1201,-0.0226,5.3205,0.0603,0.4804
L5_mkt_beta,2.9973,0.122,-0.0226,5.4093,0.0603,0.4806
L6_sector_beta,2.7462,0.1007,-0.0219,4.5884,0.0615,0.4831
L7_volscale,3.0166,0.1031,-0.0209,4.9318,0.0627,0.4822
L8_stoploss,3.0123,0.103,-0.0195,5.2897,0.0664,0.4784
L9_DD_ctrl,3.0123,0.103,-0.0195,5.2897,0.0664,0.4784
L10_restricted,3.0533,0.1013,-0.0204,4.9685,0.0649,0.4788
L11_paircap,2.9542,0.0959,-0.0208,4.6095,0.0644,0.478
L12_voladj,2.4879,0.0678,-0.0103,6.5775,0.0858,0.4849
