config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,-0.0398,-0.0013,-0.0282,-0.0449,0.1695,0.4927
L1_min_opt,-0.4975,-0.0164,-0.0346,-0.4744,0.1845,0.4927
L2_tur_penalty,-0.2278,-0.0078,-0.0328,-0.2386,0.1073,0.4921
L3_asset_cap,-0.125,-0.0042,-0.0322,-0.1298,0.1029,0.4938
L4_gacha_t,-0.1252,-0.0042,-0.0322,-0.1301,0.1029,0.4938
L5_mkt_beta,-0.0729,-0.0024,-0.0322,-0.0756,0.103,0.4934
L6_sector_beta,0.4943,0.0156,-0.0267,0.5845,0.11,0.4892
L7_volscale,0.7823,0.0239,-0.0237,1.0088,0.11,0.4878
L8_stoploss,0.9829,0.03,-0.0237,1.2654,0.1075,0.4821
L9_DD_ctrl,0.9926,0.0303,-0.0237,1.2779,0.1075,0.4821
L10_restricted,0.8445,0.0251,-0.0224,1.122,0.1047,0.488
L11_paircap,0.7852,0.023,-0.0236,0.9752,0.1039,0.4879
L12_voladj,0.8638,0.0242,-0.0203,1.1956,0.1238,0.4856
