step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.459,-0.0161,0.0008,-0.49,0.02,0.001
L2_tur_penalty,0.41,0.0137,0.0032,0.53,-0.08,-0.001
L3_asset_cap,-0.084,-0.0031,0.0008,-0.08,-0.011,0.002
L4_gacha_t,0.011,0.0004,0.0,0.01,0.0,-0.0
L5_mkt_beta,0.05,0.0018,0.0,0.06,0.0,-0.001
L6_sector_beta,0.095,0.0007,0.0032,0.15,0.002,-0.001
L7_volscale,0.216,0.0057,0.0012,0.3,0.002,-0.002
L8_stoploss,0.127,0.004,-0.0004,0.15,-0.002,-0.005
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,0.014,0.0,-0.0031,-0.18,-0.006,0.002
L11_paircap,0.03,0.0008,0.0007,0.07,-0.001,-0.002
L12_voladj,-0.209,-0.008,0.0026,-0.19,0.022,0.0
