step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.138,-0.0018,0.0025,0.91,0.006,-0.004
L2_tur_penalty,0.103,0.0046,0.0006,0.57,-0.019,0.003
L3_asset_cap,0.027,0.0012,-0.0003,-0.04,-0.001,0.003
L4_gacha_t,0.0,0.0,0.0,0.0,0.0,0.0
L5_mkt_beta,0.052,0.0019,0.0,0.13,0.0,-0.0
L6_sector_beta,0.054,-0.001,0.0,-0.08,0.001,0.001
L7_volscale,-0.035,-0.0052,0.0017,0.62,0.003,-0.001
L8_stoploss,0.116,0.0072,0.0,0.49,0.002,-0.004
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,0.016,0.0007,-0.0001,-0.03,-0.0,0.0
L11_paircap,-0.002,0.0004,-0.0007,-0.37,0.0,-0.0
L12_voladj,-0.173,-0.019,-0.0001,-1.38,0.021,0.001
