config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,2.0147,0.0853,-0.0233,3.6541,0.1209,0.4586
L1_min_opt,1.996,0.0845,-0.019,4.4548,0.1262,0.4552
L2_tur_penalty,2.1246,0.0906,-0.0169,5.3537,0.0635,0.4569
L3_asset_cap,2.2212,0.091,-0.0166,5.4679,0.0643,0.4576
L4_gacha_t,2.2235,0.0911,-0.0166,5.4716,0.0644,0.4576
L5_mkt_beta,2.2882,0.0951,-0.0196,4.8457,0.0648,0.4577
L6_sector_beta,3.0117,0.1182,-0.0164,7.2273,0.0685,0.4559
L7_volscale,2.9583,0.1121,-0.016,7.0261,0.0698,0.4551
L8_stoploss,2.8899,0.1129,-0.0148,7.635,0.0694,0.4537
L9_DD_ctrl,2.8899,0.1129,-0.0148,7.635,0.0694,0.4537
L10_restricted,2.9096,0.1089,-0.0132,8.2457,0.0668,0.456
L11_paircap,2.7926,0.1039,-0.0137,7.6067,0.0672,0.4573
L12_voladj,2.537,0.0806,-0.0184,4.3888,0.0869,0.4599
