step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,0.065,0.0077,-0.0064,0.05,0.033,-0.005
L2_tur_penalty,0.063,0.0043,0.0026,0.12,-0.089,0.004
L3_asset_cap,-0.219,-0.0213,0.0174,-0.15,-0.023,0.006
L4_gacha_t,0.559,0.0212,0.0136,1.52,0.003,0.009
L5_mkt_beta,0.228,0.0118,-0.0028,0.23,0.001,0.002
L6_sector_beta,0.32,0.0027,0.0059,0.97,0.002,0.003
L7_volscale,-0.3,-0.0157,-0.001,-1.01,-0.006,0.0
L8_stoploss,-0.118,-0.0054,0.0011,-0.15,-0.034,-0.002
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,-0.191,-0.008,0.0011,-0.33,-0.016,0.002
L11_paircap,-0.052,-0.0018,-0.0002,-0.12,-0.0,0.0
L12_voladj,-0.02,-0.0059,0.0002,-0.33,0.023,0.001
