config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,0.6101,0.0377,-0.0481,0.7835,0.3434,0.4196
L1_min_opt,0.6782,0.0457,-0.0545,0.8394,0.3762,0.4144
L2_tur_penalty,0.7404,0.05,-0.0519,0.9637,0.2873,0.4186
L3_asset_cap,0.5195,0.0282,-0.0345,0.8193,0.2642,0.4252
L4_gacha_t,1.0844,0.0495,-0.0209,2.3648,0.2674,0.4346
L5_mkt_beta,1.3122,0.0613,-0.0237,2.5897,0.2683,0.4364
L6_sector_beta,1.6376,0.0639,-0.0179,3.5737,0.2705,0.4393
L7_volscale,1.3484,0.0485,-0.0188,2.5825,0.2649,0.4396
L8_stoploss,1.2104,0.0424,-0.0177,2.3928,0.2303,0.4378
L9_DD_ctrl,1.2104,0.0424,-0.0177,2.3928,0.2303,0.4378
L10_restricted,1.0197,0.0344,-0.0166,2.0763,0.2141,0.4398
L11_paircap,0.968,0.0326,-0.0168,1.9481,0.2138,0.4399
L12_voladj,0.9677,0.0271,-0.0165,1.638,0.237,0.4414
