step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,0.167,0.0152,-0.006,0.17,0.025,-0.009
L2_tur_penalty,0.109,0.0043,0.0031,0.16,-0.089,0.01
L3_asset_cap,-0.536,-0.0372,0.0199,-0.34,-0.012,0.01
L4_gacha_t,-0.135,-0.0082,-0.0018,-0.31,0.001,0.003
L5_mkt_beta,-0.128,-0.0052,-0.0002,-0.16,0.0,0.001
L6_sector_beta,0.274,0.0093,0.0008,0.31,0.001,0.002
L7_volscale,0.26,0.0072,0.0039,0.37,-0.005,-0.0
L8_stoploss,-0.075,-0.0027,-0.0009,-0.13,-0.007,-0.001
L9_DD_ctrl,0.025,0.0008,0.0009,0.06,-0.0,-0.0
L10_restricted,0.04,0.0,0.0031,0.15,-0.009,0.002
L11_paircap,-0.04,-0.0017,0.001,-0.01,-0.002,0.002
L12_voladj,-0.295,-0.0122,0.002,-0.44,0.015,0.005
