config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,0.7358,0.0358,-0.0476,0.7516,0.2405,0.4078
L1_min_opt,0.9081,0.0494,-0.0536,0.9219,0.2659,0.3985
L2_tur_penalty,1.014,0.0539,-0.0505,1.0668,0.1772,0.4089
L3_asset_cap,0.4139,0.0177,-0.0306,0.5772,0.1653,0.4186
L4_gacha_t,0.2451,0.0095,-0.0324,0.2919,0.1659,0.4219
L5_mkt_beta,0.1565,0.006,-0.0326,0.1848,0.1658,0.4227
L6_sector_beta,0.458,0.0168,-0.0317,0.5308,0.1665,0.4242
L7_volscale,0.7164,0.0246,-0.0279,0.88,0.1613,0.424
L8_stoploss,0.7202,0.0247,-0.0288,0.8592,0.1538,0.4238
L9_DD_ctrl,0.7462,0.0256,-0.0279,0.9175,0.1537,0.4235
L10_restricted,0.6642,0.0218,-0.0247,0.8808,0.1447,0.4257
L11_paircap,0.6174,0.0201,-0.0237,0.8449,0.143,0.4271
L12_voladj,0.3095,0.0089,-0.0216,0.4102,0.1578,0.4306
