step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.064,0.0017,-0.0006,-0.03,0.005,-0.003
L2_tur_penalty,0.177,0.0093,-0.0006,0.27,-0.031,-0.001
L3_asset_cap,0.074,-0.0093,0.0025,0.04,-0.001,0.001
L4_gacha_t,0.023,-0.0053,-0.0004,-0.29,0.0,0.001
L5_mkt_beta,-0.072,-0.0032,0.0,-0.14,0.0,0.001
L6_sector_beta,0.15,0.0013,0.004,0.8,0.001,0.001
L7_volscale,0.215,0.0033,0.001,0.41,0.002,-0.001
L8_stoploss,0.417,0.0123,0.0043,2.31,0.006,-0.005
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,-0.281,-0.0138,0.0002,-0.9,0.0,0.002
L11_paircap,0.135,-0.0007,0.0015,0.69,-0.002,-0.001
L12_voladj,-0.718,-0.0347,-0.0022,-3.37,0.02,0.003
