config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,1.6429,0.0927,-0.0245,3.7877,0.0582,0.4832
L1_min_opt,1.5954,0.0954,-0.0251,3.7991,0.0632,0.481
L2_tur_penalty,1.7641,0.1042,-0.0257,4.0469,0.0321,0.4797
L3_asset_cap,1.8058,0.093,-0.0232,4.0126,0.0315,0.4802
L4_gacha_t,1.8287,0.0878,-0.0236,3.7247,0.0316,0.481
L5_mkt_beta,1.758,0.0846,-0.0236,3.5891,0.0317,0.4817
L6_sector_beta,1.8968,0.0855,-0.0196,4.3564,0.0323,0.4821
L7_volscale,2.1205,0.0891,-0.0186,4.7865,0.0344,0.481
L8_stoploss,2.5223,0.1007,-0.0143,7.0337,0.0404,0.4753
L9_DD_ctrl,2.5223,0.1007,-0.0143,7.0337,0.0404,0.4753
L10_restricted,2.3047,0.0895,-0.0148,6.0619,0.0403,0.4773
L11_paircap,2.419,0.0879,-0.0126,6.9743,0.0384,0.4755
L12_voladj,1.763,0.055,-0.0148,3.7116,0.0582,0.4776
