step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,0.145,0.0033,0.0047,2.08,0.003,-0.002
L2_tur_penalty,0.113,0.0107,-0.0002,0.55,-0.03,0.002
L3_asset_cap,-0.112,-0.003,0.0002,-0.06,-0.003,0.001
L4_gacha_t,-0.119,-0.0134,-0.0002,-0.89,0.001,0.002
L5_mkt_beta,-0.058,-0.0051,0.0,-0.31,0.0,0.001
L6_sector_beta,-0.072,-0.0159,0.0006,-0.7,0.003,0.003
L7_volscale,-0.096,-0.0092,0.0,-0.56,0.002,0.001
L8_stoploss,-0.023,-0.0013,-0.0006,-0.34,-0.003,-0.004
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,-0.381,-0.0184,0.0002,-1.01,-0.003,0.005
L11_paircap,0.19,0.0058,0.0006,0.58,0.001,-0.002
L12_voladj,0.152,-0.0027,0.0037,1.56,0.019,0.007
