config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,2.6301,0.1278,-0.0214,5.9684,0.1001,0.4433
L1_min_opt,2.7711,0.1311,-0.0167,7.8427,0.1025,0.4409
L2_tur_penalty,2.9231,0.1432,-0.0169,8.4848,0.0741,0.4428
L3_asset_cap,2.8843,0.1439,-0.0167,8.6297,0.0715,0.4432
L4_gacha_t,2.7589,0.1308,-0.0169,7.7575,0.0724,0.4446
L5_mkt_beta,2.7151,0.1267,-0.0169,7.5159,0.0725,0.4453
L6_sector_beta,2.6394,0.1115,-0.0163,6.8374,0.0759,0.4479
L7_volscale,2.5447,0.1028,-0.0163,6.3046,0.0779,0.4488
L8_stoploss,2.576,0.1039,-0.0169,6.1352,0.075,0.4451
L9_DD_ctrl,2.576,0.1039,-0.0169,6.1352,0.075,0.4451
L10_restricted,2.2141,0.0865,-0.0167,5.1858,0.0727,0.4499
L11_paircap,2.3985,0.0923,-0.016,5.7524,0.0733,0.448
L12_voladj,2.7524,0.0965,-0.0123,7.8599,0.0924,0.4545
