step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.232,0.0003,-0.002,-0.41,0.006,-0.003
L2_tur_penalty,0.235,0.0118,0.0051,1.77,-0.026,-0.006
L3_asset_cap,0.054,0.0051,-0.0004,0.09,-0.002,-0.0
L4_gacha_t,-0.009,-0.0025,-0.0002,-0.18,0.0,0.001
L5_mkt_beta,0.043,-0.0003,0.0022,0.76,0.0,-0.001
L6_sector_beta,-0.143,-0.0087,0.0001,-0.42,0.001,0.001
L7_volscale,-0.075,-0.007,-0.0021,-1.0,0.003,0.001
L8_stoploss,-0.007,-0.0003,-0.0001,-0.03,0.0,-0.001
L9_DD_ctrl,-0.0,-0.0001,0.0,-0.0,0.0,0.0
L10_restricted,-0.004,-0.0002,-0.0001,-0.03,0.0,-0.0
L11_paircap,-0.088,-0.0014,0.0001,-0.04,0.001,0.001
L12_voladj,-0.204,-0.0188,0.0036,0.17,0.02,0.005
