config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,4.1642,0.145,-0.0248,5.8487,0.0874,0.4964
L1_min_opt,3.8868,0.145,-0.0268,5.4078,0.0934,0.4935
L2_tur_penalty,4.1237,0.1565,-0.0217,7.2233,0.0676,0.4879
L3_asset_cap,4.2017,0.1613,-0.0221,7.2896,0.0657,0.4877
L4_gacha_t,4.1975,0.159,-0.0223,7.1155,0.0658,0.4884
L5_mkt_beta,4.2954,0.1599,-0.0201,7.9709,0.066,0.4878
L6_sector_beta,4.1466,0.1507,-0.02,7.5211,0.0668,0.4888
L7_volscale,4.0693,0.1435,-0.0221,6.4838,0.07,0.4895
L8_stoploss,4.0305,0.1416,-0.0222,6.3792,0.0699,0.4885
L9_DD_ctrl,4.0308,0.1416,-0.0222,6.3768,0.07,0.4886
L10_restricted,4.0251,0.1413,-0.0223,6.3466,0.0702,0.4885
L11_paircap,3.9324,0.1399,-0.0222,6.2935,0.071,0.4894
L12_voladj,3.7023,0.1208,-0.0186,6.4914,0.0904,0.4948
