step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.013,0.0251,-0.0014,0.62,0.009,-0.008
L2_tur_penalty,0.157,0.005,-0.0007,0.01,-0.066,0.012
L3_asset_cap,-0.031,-0.0206,0.0061,1.08,-0.006,0.006
L4_gacha_t,0.01,-0.0072,0.0003,-0.23,-0.0,0.002
L5_mkt_beta,0.024,0.0023,-0.0008,-0.19,-0.0,0.001
L6_sector_beta,0.276,-0.0138,0.0041,1.06,0.003,0.002
L7_volscale,0.252,0.0023,0.0016,1.05,-0.001,-0.001
L8_stoploss,0.129,0.0074,0.0012,1.32,0.002,-0.003
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,-0.105,-0.0151,0.0003,-0.84,-0.004,0.005
L11_paircap,-0.173,-0.0097,-0.0006,-1.12,-0.001,0.001
L12_voladj,-0.218,-0.0286,0.0035,0.37,0.018,0.006
