config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,3.0906,0.1557,-0.0245,6.3422,0.1375,0.4188
L1_min_opt,3.0908,0.181,-0.0259,6.9756,0.147,0.41
L2_tur_penalty,3.2486,0.1861,-0.0266,6.988,0.0805,0.4219
L3_asset_cap,3.1894,0.1641,-0.0205,7.9941,0.0745,0.428
L4_gacha_t,3.1949,0.1567,-0.0202,7.7538,0.0744,0.4299
L5_mkt_beta,3.2163,0.1587,-0.021,7.5553,0.0743,0.4311
L6_sector_beta,3.4836,0.1449,-0.0169,8.568,0.0778,0.4331
L7_volscale,3.7276,0.147,-0.0154,9.5691,0.0762,0.4323
L8_stoploss,3.8762,0.1547,-0.0143,10.8144,0.0776,0.4294
L9_DD_ctrl,3.8762,0.1547,-0.0143,10.8144,0.0776,0.4294
L10_restricted,3.7792,0.1402,-0.0139,10.1117,0.0743,0.4349
L11_paircap,3.6021,0.1299,-0.0141,9.2274,0.073,0.4362
L12_voladj,3.3734,0.1016,-0.0109,9.3345,0.0908,0.4429
