config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,2.8572,0.0502,-0.0206,2.435,0.0642,0.4562
L1_min_opt,2.7073,0.0497,-0.0229,2.1745,0.0739,0.4512
L2_tur_penalty,2.4507,0.046,-0.024,1.9202,0.0333,0.4549
L3_asset_cap,2.7754,0.0456,-0.0188,2.4314,0.0346,0.4551
L4_gacha_t,2.7641,0.0458,-0.019,2.4077,0.0349,0.4552
L5_Beta_t,4.2313,0.0673,-0.0156,4.3258,0.0368,0.4516
L6_sector_rc,4.2625,0.068,-0.0156,4.3672,0.037,0.4515
L7_RV_scaling,4.726,0.0693,-0.0116,5.9509,0.0409,0.4499
L8_DD_ctrl,4.726,0.0693,-0.0116,5.9509,0.0409,0.4499
L9_chronic_step,4.6554,0.075,-0.0126,5.9349,0.0568,0.4418
