step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,0.133,0.0071,0.0061,0.42,0.01,0.001
L2_tur_penalty,0.092,0.0059,0.0018,0.26,-0.034,0.001
L3_asset_cap,0.8,0.0264,0.0155,2.92,-0.04,0.002
L4_gacha_t,-0.097,-0.0017,-0.0014,-0.41,0.002,-0.0
L5_mkt_beta,-0.013,0.0026,-0.0036,-0.55,0.001,0.0
L6_sector_beta,-0.067,-0.0138,0.0082,1.13,0.002,-0.0
L7_volscale,-0.013,-0.0031,-0.0003,-0.25,-0.0,0.0
L8_stoploss,0.507,0.0182,0.0026,2.11,-0.021,-0.005
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,-0.223,-0.0148,-0.0003,-1.14,-0.007,0.003
L11_paircap,-0.059,-0.003,-0.0005,-0.37,-0.001,0.001
L12_voladj,-0.417,-0.023,0.0016,-1.03,0.018,0.006
