config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,1.021,0.0638,-0.0437,1.461,0.1771,0.4479
L1_min_opt,1.1711,0.0718,-0.0376,1.9098,0.1873,0.4488
L2_tur_penalty,1.2808,0.0789,-0.0358,2.2039,0.1527,0.4492
L3_asset_cap,2.0733,0.1051,-0.0203,5.1858,0.1129,0.4512
L4_gacha_t,1.9757,0.1033,-0.0217,4.7666,0.1146,0.4511
L5_mkt_beta,1.9628,0.1061,-0.0253,4.2021,0.1155,0.4515
L6_sector_beta,1.8822,0.0911,-0.0172,5.3053,0.1178,0.4521
L7_volscale,1.8559,0.0872,-0.0174,5.0192,0.1178,0.4524
L8_stoploss,2.3489,0.1057,-0.0147,7.1819,0.0968,0.4472
L9_DD_ctrl,2.3489,0.1057,-0.0147,7.1819,0.0968,0.4472
L10_restricted,2.0157,0.0858,-0.0151,5.6655,0.09,0.4509
L11_paircap,1.963,0.083,-0.0156,5.3302,0.0888,0.4515
L12_voladj,1.5492,0.06,-0.0141,4.2561,0.1058,0.4577
