step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,0.098,0.0182,-0.0028,0.23,0.009,-0.006
L2_tur_penalty,-0.122,-0.0091,-0.0006,-0.23,-0.04,0.001
L3_asset_cap,0.229,-0.0147,0.0151,0.81,-0.002,0.003
L4_gacha_t,0.047,0.0008,0.0002,0.05,0.0,0.001
L5_mkt_beta,-0.007,-0.0007,0.0,-0.03,0.0,0.001
L6_sector_beta,0.494,0.0079,0.0087,1.65,0.002,-0.002
L7_volscale,0.292,0.006,0.0006,0.4,0.001,-0.002
L8_stoploss,-0.056,0.0002,0.0031,0.87,0.005,-0.0
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,0.0,0.0,0.0,0.0,0.0,0.0
L11_paircap,-0.15,-0.0119,0.0,-0.6,-0.001,0.0
L12_voladj,0.173,-0.0173,0.0074,2.1,0.019,0.003
