config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,2.3118,0.1212,-0.0443,2.7338,0.0744,0.4546
L1_min_opt,2.4096,0.1394,-0.0471,2.9595,0.0834,0.4483
L2_tur_penalty,2.2873,0.1303,-0.0477,2.7297,0.0438,0.4496
L3_asset_cap,2.5163,0.1156,-0.0326,3.5446,0.0422,0.453
L4_gacha_t,2.5637,0.1164,-0.0324,3.5954,0.0425,0.4538
L5_mkt_beta,2.5571,0.1157,-0.0324,3.5698,0.0426,0.4548
L6_sector_beta,3.0515,0.1236,-0.0237,5.2173,0.0445,0.4524
L7_volscale,3.3439,0.1296,-0.0231,5.6196,0.0454,0.4508
L8_stoploss,3.2877,0.1298,-0.02,6.4879,0.0501,0.4505
L9_DD_ctrl,3.2877,0.1298,-0.02,6.4879,0.0501,0.4505
L10_restricted,3.2877,0.1298,-0.02,6.4879,0.0501,0.4505
L11_paircap,3.1375,0.1179,-0.02,5.8859,0.0492,0.4509
L12_voladj,3.311,0.1006,-0.0126,7.9855,0.0683,0.4541
