step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.078,0.0015,-0.0119,-0.16,0.013,0.001
L2_tur_penalty,0.016,0.0001,0.0024,0.03,-0.057,-0.008
L3_asset_cap,1.038,0.0228,0.0283,1.52,-0.006,-0.003
L4_gacha_t,0.147,0.0043,0.0036,0.47,0.0,-0.001
L5_mkt_beta,0.018,-0.0002,0.0,-0.0,0.0,0.0
L6_sector_beta,0.624,0.0118,0.0089,2.02,0.001,-0.002
L7_volscale,0.275,0.0029,0.0018,0.7,-0.002,-0.003
L8_stoploss,0.615,0.0154,-0.0004,0.81,0.004,-0.004
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,0.0,0.0,0.0,0.0,0.0,0.0
L11_paircap,-0.304,-0.0111,0.0002,-0.61,0.0,0.001
L12_voladj,-0.006,-0.0147,0.0076,3.26,0.016,0.001
