config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,1.1412,0.0625,-0.0495,1.2646,0.1107,0.4922
L1_min_opt,1.0838,0.0671,-0.0614,1.0927,0.1234,0.4926
L2_tur_penalty,1.0891,0.0664,-0.059,1.1254,0.066,0.4849
L3_asset_cap,2.1241,0.0857,-0.0308,2.7784,0.0604,0.482
L4_gacha_t,2.1955,0.0862,-0.0271,3.1862,0.0609,0.4822
L5_mkt_beta,2.1945,0.0852,-0.0271,3.149,0.0609,0.4826
L6_sector_beta,2.7806,0.0955,-0.0182,5.2506,0.062,0.4803
L7_volscale,3.0514,0.0986,-0.0164,5.9941,0.0596,0.4774
L8_stoploss,3.4853,0.1086,-0.0168,6.4666,0.0631,0.4736
L9_DD_ctrl,3.4853,0.1086,-0.0168,6.4666,0.0631,0.4736
L10_restricted,3.4853,0.1086,-0.0168,6.4666,0.0631,0.4736
L11_paircap,3.1988,0.0975,-0.0166,5.8713,0.0632,0.4745
L12_voladj,3.0867,0.0805,-0.009,8.9635,0.0799,0.4762
