step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,0.017,0.0032,0.0015,0.16,0.006,-0.001
L2_tur_penalty,0.207,0.0089,0.0023,0.39,-0.019,0.001
L3_asset_cap,0.046,-0.0003,-0.0002,-0.02,0.001,-0.0
L4_gacha_t,0.283,0.0087,0.0105,1.39,0.001,-0.001
L5_mkt_beta,-0.069,-0.0043,0.0,-0.18,0.0,0.001
L6_sector_beta,0.367,0.0048,0.0022,0.6,0.002,-0.003
L7_volscale,0.41,0.0091,0.0025,1.05,0.002,-0.002
L8_stoploss,0.218,0.0077,-0.0007,0.22,0.003,-0.003
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,0.0,0.0,0.0,0.0,0.0,0.0
L11_paircap,0.187,0.0072,0.0,0.39,-0.0,-0.002
L12_voladj,0.734,0.0066,0.0072,4.05,0.024,0.002
