config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,1.3281,0.0579,-0.0369,1.571,0.0379,0.4715
L1_min_opt,1.3584,0.0611,-0.0355,1.7196,0.0433,0.4708
L2_tur_penalty,1.6053,0.0708,-0.0332,2.1305,0.0239,0.4715
L3_asset_cap,1.6128,0.0696,-0.0334,2.0823,0.0247,0.4714
L4_gacha_t,1.9607,0.0803,-0.0229,3.5048,0.0252,0.4701
L5_mkt_beta,1.8813,0.077,-0.0229,3.3639,0.0253,0.4707
L6_sector_beta,2.2367,0.0818,-0.0207,3.9568,0.0271,0.4674
L7_volscale,2.6819,0.0906,-0.0182,4.9928,0.0296,0.4657
L8_stoploss,2.9533,0.0997,-0.0189,5.2794,0.0321,0.4627
L9_DD_ctrl,2.9533,0.0997,-0.0189,5.2794,0.0321,0.4627
L10_restricted,2.9533,0.0997,-0.0189,5.2794,0.0321,0.4627
L11_paircap,3.1516,0.1069,-0.0188,5.6778,0.0318,0.4607
L12_voladj,3.7057,0.1088,-0.0117,9.304,0.0565,0.463
