step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.011,0.0011,0.0002,0.05,0.013,-0.004
L2_tur_penalty,0.206,0.0088,0.0025,0.47,-0.052,0.008
L3_asset_cap,-0.07,-0.0067,0.001,-0.13,0.0,0.001
L4_gacha_t,0.024,0.0007,0.0006,0.08,0.0,0.0
L5_mkt_beta,0.02,0.0006,0.0,0.02,0.0,0.0
L6_sector_beta,0.379,0.0026,0.012,2.12,0.001,-0.0
L7_volscale,0.217,0.0013,0.0015,0.54,0.001,-0.002
L8_stoploss,0.048,0.0035,0.0002,0.29,0.001,-0.001
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,0.0,0.0,0.0,0.0,0.0,0.0
L11_paircap,-0.157,-0.0095,0.0,-0.62,-0.0,0.0
L12_voladj,-0.257,-0.0201,0.002,-0.74,0.022,0.002
