config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,1.6713,0.0748,-0.0332,2.2539,0.0871,0.4596
L1_min_opt,1.6599,0.0759,-0.033,2.3012,0.0997,0.4559
L2_tur_penalty,1.8658,0.0847,-0.0305,2.774,0.0478,0.4638
L3_asset_cap,1.7953,0.078,-0.0295,2.6394,0.0479,0.4649
L4_gacha_t,1.819,0.0787,-0.0289,2.7228,0.0479,0.465
L5_mkt_beta,1.8395,0.0793,-0.0289,2.7443,0.0479,0.4652
L6_sector_beta,2.2188,0.0819,-0.0169,4.8608,0.0484,0.4648
L7_volscale,2.4356,0.0832,-0.0154,5.3959,0.0497,0.463
L8_stoploss,2.4837,0.0867,-0.0152,5.6865,0.0509,0.4617
L9_DD_ctrl,2.4837,0.0867,-0.0152,5.6865,0.0509,0.4617
L10_restricted,2.4837,0.0867,-0.0152,5.6865,0.0509,0.4617
L11_paircap,2.3266,0.0772,-0.0152,5.0704,0.0507,0.4618
L12_voladj,2.0697,0.0571,-0.0132,4.3271,0.0723,0.4637
