step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,0.222,0.0284,-0.0016,0.52,0.011,-0.009
L2_tur_penalty,-0.025,-0.0049,-0.0005,-0.44,-0.045,0.006
L3_asset_cap,0.058,-0.0298,0.0034,0.3,-0.001,0.006
L4_gacha_t,0.058,-0.0097,0.005,2.97,0.0,0.001
L5_mkt_beta,-0.033,-0.0009,0.0,-0.03,0.0,0.001
L6_sector_beta,0.041,-0.0423,-0.0001,-2.9,0.002,0.004
L7_volscale,-0.011,-0.0029,0.0005,0.23,0.0,-0.002
L8_stoploss,-0.003,0.0024,0.0003,0.38,0.004,-0.004
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,0.0,0.0,0.0,0.0,0.0,0.0
L11_paircap,-0.005,-0.0013,0.0,-0.08,-0.0,-0.0
L12_voladj,-0.0,-0.0241,-0.0014,-2.54,0.021,0.006
