config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,3.7702,0.2015,-0.0151,13.3534,0.0799,0.4418
L1_min_opt,4.0447,0.2308,-0.0186,12.4137,0.0903,0.4329
L2_tur_penalty,4.0492,0.2266,-0.0174,12.9949,0.0458,0.4379
L3_asset_cap,4.084,0.1979,-0.0149,13.314,0.0448,0.4433
L4_gacha_t,4.0195,0.1888,-0.0147,12.848,0.0449,0.4449
L5_mkt_beta,3.9834,0.1881,-0.0146,12.8467,0.0448,0.4455
L6_sector_beta,4.0481,0.1581,-0.0154,10.2744,0.0466,0.4479
L7_volscale,3.9915,0.154,-0.0148,10.4307,0.047,0.4465
L8_stoploss,4.0265,0.1584,-0.0145,10.9077,0.0509,0.4423
L9_DD_ctrl,4.0265,0.1584,-0.0145,10.9077,0.0509,0.4423
L10_restricted,4.0265,0.1584,-0.0145,10.9077,0.0509,0.4423
L11_paircap,4.0204,0.157,-0.0145,10.8178,0.0507,0.4421
L12_voladj,3.9814,0.1343,-0.0158,8.5041,0.072,0.4475
