step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.094,-0.0023,-0.0102,-0.32,0.01,0.005
L2_tur_penalty,0.138,0.007,0.0007,0.18,-0.058,0.002
L3_asset_cap,0.391,0.0152,0.0166,1.26,-0.005,-0.005
L4_gacha_t,0.002,0.0001,0.0,0.01,0.0,0.0
L5_mkt_beta,0.129,0.0075,-0.0001,0.29,0.001,-0.001
L6_sector_beta,0.489,0.0029,0.008,1.39,0.006,-0.001
L7_volscale,0.099,0.0024,0.001,0.43,0.001,0.0
L8_stoploss,0.34,0.0105,0.003,1.89,0.004,-0.008
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,-0.187,-0.0098,0.0017,0.03,-0.004,0.003
L11_paircap,0.077,0.0012,-0.0004,-0.11,-0.002,0.001
L12_voladj,-0.46,-0.0192,-0.003,-2.64,0.015,0.004
