config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,0.7437,0.0357,-0.0314,1.1365,0.1165,0.4764
L1_min_opt,0.6763,0.0349,-0.0416,0.8384,0.1265,0.4796
L2_tur_penalty,0.8166,0.042,-0.0409,1.0263,0.0686,0.4817
L3_asset_cap,1.2043,0.0569,-0.0243,2.3366,0.0634,0.4769
L4_gacha_t,1.2066,0.057,-0.0243,2.3419,0.0634,0.477
L5_mkt_beta,1.3366,0.0645,-0.0244,2.6384,0.0642,0.476
L6_sector_beta,1.8466,0.0673,-0.0164,4.1157,0.0701,0.4747
L7_volscale,1.9403,0.0695,-0.0153,4.5401,0.0708,0.4749
L8_stoploss,2.2691,0.0795,-0.0124,6.4012,0.0746,0.468
L9_DD_ctrl,2.2691,0.0795,-0.0124,6.4012,0.0746,0.468
L10_restricted,2.0927,0.0698,-0.0107,6.5225,0.0709,0.4708
L11_paircap,2.1887,0.0715,-0.0111,6.4339,0.0693,0.4704
L12_voladj,1.7657,0.0531,-0.0141,3.7685,0.0844,0.4738
