step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,0.16,0.0143,-0.0013,0.41,0.012,-0.004
L2_tur_penalty,0.11,0.0054,0.0001,0.23,-0.04,-0.001
L3_asset_cap,-0.371,-0.0302,0.0051,-0.49,-0.026,0.007
L4_gacha_t,0.068,0.0025,0.0009,0.31,0.001,-0.0
L5_mkt_beta,-0.19,-0.008,-0.0001,-0.46,0.001,0.001
L6_sector_beta,0.454,0.0092,0.0032,1.31,0.001,0.0
L7_volscale,0.051,0.0,0.0001,0.04,-0.005,-0.0
L8_stoploss,0.298,0.0086,0.0005,0.77,-0.004,-0.008
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,-0.123,-0.0087,-0.0033,-1.51,-0.006,0.003
L11_paircap,-0.019,-0.0013,0.0003,-0.01,-0.001,0.001
L12_voladj,-0.099,-0.0075,0.0021,0.06,0.015,0.005
